,App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time,Big_Category2,App,original_image,blue_channel,green_channel,red_channel,red_channel_scaled,blue_channel_scaled,green_channel_scaled
2,潜在能力テスト－簡単暇つぶし診断アプリ　,com.kuraki.potentialtest,Strategy,3.6,168.0,"10,000+",10000.0,12621,True,0.0,USD,29M,4.0 and up,DownTownApps,,kyongshi1210@gmail.com,"Jun 28, 2018","Jun 29, 2018",Teen,https://gyi.spiritduck.be/privacy/,True,False,False,2021-06-16 11:04:32,Games,,,,,,,,
10,قرأن كامل سعود الشريم بدون نت,com.andromo.dev540689.app522267,Music & Audio,4.7,6807.0,"500,000+",500000.0,639785,True,0.0,USD,92M,4.1 and up,free quran mp3,,taoussihind37@gmail.com,"Aug 6, 2016","Sep 12, 2020",Everyone,https://sites.google.com/view/freequran/,True,False,False,2021-06-16 09:08:23,Entertainment,,,,,,,,
11,쉘터,com.shelter.android,Social,3.9,211.0,"10,000+",10000.0,16486,True,0.0,USD,4.8M,5.0 and up,쉘터,http://shelter.id,support@shelter.id,"Feb 11, 2020","Apr 05, 2021",Teen,https://shelter.id/policies,True,False,False,2021-06-15 21:30:10,Lifestyle,,,,,,,,
13,Kids Nursery Rhymes / Poems,com.apph.kids.nursery.rhymes.poems,Education,4.1,157.0,"10,000+",10000.0,30491,True,0.0,USD,18M,4.1 and up,AppH The I.T Solution,https://ua6a1fe4d.app-ads-txt.com/,khanareesha737@gmail.com,"Apr 20, 2019","Mar 22, 2021",Everyone,https://apphtheitsol.wordpress.com/,True,False,False,2021-06-16 07:39:38,Education,,,,,,,,
14,인생대박 키우기,com.pancol.LifeIsGood,Simulation,3.0,130.0,"10,000+",10000.0,30244,True,0.0,USD,61M,4.1 and up,PANCOL,https://gamemangle.blogspot.com/,1004hjun@gmail.com,"Mar 29, 2019","Jan 18, 2021",Everyone,https://github.com/GoopyPancol/LifeJackpot/blob/master/README.md,True,True,False,2021-06-15 23:36:23,Games,,,,,,,,
38,Consulta de saldo metro bus Panamá,consulta.de.saldo.panama,Tools,4.2,218.0,"10,000+",10000.0,22495,True,0.0,USD,6.0M,4.0.3 and up,APPS INDUSTRY,https://appsindustry.space/,pcservicespanama@gmail.com,"Jun 24, 2019","Jun 24, 2019",Everyone,http://www.e-droid.net/privacy.php?ida=396059&idl=en,True,False,False,2021-06-16 07:38:16,Tools,,,,,,,,
61,ABU (Igbo Christian Hymn) -Abu Iji Ekpere Chineke,abu.smacmedia.com,Books & Reference,4.3,602.0,"50,000+",50000.0,83214,True,0.0,USD,8.3M,4.1 and up,JservxTechnologies,,jservxtechnologies@gmail.com,"Dec 26, 2015","Apr 26, 2021",Everyone,https://docs.google.com/document/d/1Tfr5R-HjyOd9m3xeOAflUTZPrnjSaHYuRRNnO7J47RE/edit?usp=sharing,True,False,False,2021-06-16 06:11:14,Entertainment,,,,,,,,
77,Escoba/Desescoba,com.monk.escoba,Card,3.8,185.0,"10,000+",10000.0,15698,True,0.0,USD,9.3M,3.0 and up,Álvaro Monje,,alvaro.monje@gmail.com,"Jul 5, 2013","Oct 15, 2013",Everyone,,False,False,False,2021-06-15 21:49:47,Games,,,,,,,,
82,USIM 스마트인증 (SKT전용)-공동인증서,com.raonsecure.mobiletoken,Finance,2.7,1946.0,"100,000+",100000.0,486115,True,0.0,USD,25M,4.3 and up,라온시큐어(주),http://www.usimcert.com,usimcert@raonsecure.com,"Jul 21, 2014","Mar 05, 2021",Everyone,https://www.whitehat.co.kr/ko/privacy_policy6.html,False,False,False,2021-06-16 14:19:33,Business,,,,,,,,
88,Câu đối chữ Hán,vn.nahu.caudoi,Education,4.5,108.0,"10,000+",10000.0,27839,True,0.0,USD,29M,4.0 and up,Nahu Studio,,nahustudio@gmail.com,"May 25, 2017","Jan 23, 2019",Everyone,https://sites.google.com/view/nahustudioapppolicy,True,False,False,2021-06-16 08:10:33,Education,,,,,,,,
90,Taxi Ecològic,com.taxiecologic.app,Travel & Local,4.7,226.0,"10,000+",10000.0,21703,True,0.0,USD,17M,5.1 and up,Taxi Ecològic,http://taxiecologic.com/,info@taxiecologic.com,"Nov 23, 2015","May 31, 2021",Everyone,https://resources.callcenter.cab/terms/taxiecologicbcn.html,False,False,False,2021-06-15 21:33:35,Lifestyle,,,,,,,,
95,로또매니아 (무료),net.hungerbuster.lotto2,Finance,4.3,16620.0,"1,000,000+",1000000.0,1344081,True,0.0,USD,8.3M,4.1 and up,ablebus,https://www.hungerbuster.net,ant@hotmail.co.kr,"Nov 6, 2013","Apr 04, 2021",Everyone,https://www.hungerbuster.net/lottomania/privacy_policy/privacy_policy.jsp,True,False,False,2021-06-16 04:18:13,Business,,,,,,,,
97,"도치퀸 -고슴도치,햄스터용품 쇼핑몰",com.makeshop.powerapp.eycho190,Shopping,4.8,129.0,"10,000+",10000.0,24890,True,0.0,USD,3.8M,4.0.3 and up,PowerMobilE.kr,http://www.dochiqueen.com,powerapp18@gmail.com,"Jul 3, 2016","Oct 07, 2020",Everyone,http://www.dochiqueen.com/m/privacy.html,False,False,False,2021-06-16 12:40:15,Entertainment,,,,,,,,
98,Rádio Nova Mensagem,radio.nova.mensagem.app,Music & Audio,4.6,127.0,"5,000+",5000.0,7366,True,0.0,USD,6.2M,4.2 and up,APPRADIO.PRO - Radio Digital Connecting People,http://www.appradio.pro,comercial@appradio.pro,"Apr 6, 2017","May 27, 2021",Everyone,http://www.virtues.ag/legal/app_virtues_ag_copyright_policy.html,True,False,False,2021-06-16 08:47:58,Entertainment,,,,,,,,
